id_cargo,id_cargo_descriptivo,descripcion,nro_orden,descripcion_corta,texto_asistida,max_selecciones,consulta_popular,cargo_ejecutivo,id_grupo,preferente,tachas,max_tachas,max_preferencias
PRE,PRE,PRESIDENTE Y VICEPRESIDENTE DE LA REPUBLICA,1,PRE,PRESIDENTE Y VICEPRESIDENTE DE LA REPUBLICA,1,NO,SI,1,NO,NO,,
PRC,PRC,PRESIDENTE Y VICEPRESIDENTE DE LA REPUBLICA - CONCERTACION,2,PRC,PRESIDENTE Y VICEPRESIDENTE DE LA REPUBLICA - CONCERTACION,1,NO,SI,2,NO,NO,,
SEN,SEN,SENADORES,3,SEN,SENADORES,1,NO,NO,3,SI,NO,,1
DIP,DIP,DIPUTADOS,4,DIP,DIPUTADOS,1,NO,NO,4,SI,NO,,1
DIC,DIC,DIPUTADOS - CONCERTACION,5,DIC,DIPUTADOS - CONCERTACION,1,NO,NO,5,SI,NO,,1
GOB,GOB,GOBERNADOR,6,GOB,GOBERNADOR,1,NO,SI,6,NO,NO,,
GOC,GOC,GOBERNADOR - CONCERTACION,7,GOC,GOBERNADOR - CONCERTACION,1,NO,SI,7,NO,NO,,
JDE,JDE,JUNTA DEPARTAMENTAL,8,JDE,JUNTA DEPARTAMENTAL,1,NO,NO,8,SI,NO,,1
JDC,JDC,JUNTA DEPARTAMENTAL - CONCERTACION,9,JDC,JUNTA DEPARTAMENTAL - CONCERTACION,1,NO,NO,9,SI,NO,,1
PJG,PJG,PRESIDENTE DE LA JUNTA DE GOBIERNO - ANR,10,PJG,PRESIDENTE DE LA JUNTA DE GOBIERNO - ANR,1,NO,SI,10,NO,NO,,
MNJ,MNJ,"MIEMBROS DE LA JUNTA DE GOBIERNO, SEGMENTO NACIONAL - ANR",11,MNJ,"MIEMBROS DE LA JUNTA DE GOBIERNO, SEGMENTO NACIONAL - ANR",1,NO,NO,11,SI,NO,,1
MDG,MDG,"MIEMBROS DE LA JUNTA DE GOBIERNO, SEGMENTO REGIONAL - ANR",12,MDG,"MIEMBROS DE LA JUNTA DE GOBIERNO, SEGMENTO REGIONAL - ANR",1,NO,NO,12,SI,NO,,1
PDS,PDS,PRESIDENTE DE LA COMISIÓN SECCIONAL - ANR,13,PDS,PRESIDENTE DE LA COMISIÓN SECCIONAL - ANR,1,NO,SI,13,NO,NO,,
MTS,MTS,MIEMBRO DE LA COMISIÓN SECCIONAL - ANR,14,MTS,MIEMBRO DE LA COMISIÓN SECCIONAL - ANR,1,NO,NO,14,SI,NO,,1
DCT,DCT,DELEGADO CONVENCIONAL - ANR,15,DCT,DELEGADO CONVENCIONAL - ANR,1,NO,NO,15,SI,NO,,1
PR1,PR1,PRESIDENTE - PEN,16,PR1,PRESIDENTE - PEN,1,NO,SI,16,NO,NO,,
DNP,DNP,DELEGADO CONVENCIONAL LISTA NACIONAL - PEN,17,DNP,DELEGADO CONVENCIONAL LISTA NACIONAL - PEN,1,NO,NO,17,SI,NO,,1
DDP,DDP,DELEGADO CONVENCIONAL LISTA DEPARTAMENTAL - PEN,18,DDP,DELEGADO CONVENCIONAL LISTA DEPARTAMENTAL - PEN,1,NO,NO,18,SI,NO,,1
MLN,MLN,MIEMBRO DEL CONSEJO LISTA NACIONAL - PEN,19,MLN,MIEMBRO DEL CONSEJO LISTA NACIONAL - PEN,1,NO,NO,19,SI,NO,,1
MDC,MDC,MIEMBRO DEL CONSEJO LISTA DEPARTAMENTAL - PEN,20,MDC,MIEMBRO DEL CONSEJO LISTA DEPARTAMENTAL - PEN,1,NO,NO,20,SI,NO,,1
PR2,PR2,PRESIDENTE - VICE 1° Y 2° - PDP,21,PR2,PRESIDENTE - VICE 1° Y 2° - PDP,1,NO,SI,21,NO,NO,,
MCN,MCN,MIEMBROS DE LA CONDUCCION NACIONAL - PDP,22,MCN,MIEMBROS DE LA CONDUCCION NACIONAL - PDP,1,NO,NO,22,SI,NO,,1
DCP,DCP,DELEGADOS CONVENCIONALES - PDP,23,DCP,DELEGADOS CONVENCIONALES - PDP,1,NO,NO,23,SI,NO,,1
PR3,PR3,PRESIDENTE Y VICEPRESIDENTE - PNG30A,24,PR3,PRESIDENTE Y VICEPRESIDENTE - PNG30A,1,NO,SI,24,NO,NO,,
MNC,MNC,MIEMBROS DE LA CONDUCCION NACIONAL - PNG30A,25,MNC,MIEMBROS DE LA CONDUCCION NACIONAL - PNG30A,1,NO,NO,25,SI,NO,,1
MIC,MIC,MIEMBROS CONVENCIONALES - PNG30A,26,MIC,MIEMBROS CONVENCIONALES - PNG30A,1,NO,NO,26,SI,NO,,1
PVC,PVC,PRESIDENTE Y VICEPRESIDENTE COMITE DEPARTAMENTAL - PNG30A,27,PVC,PRESIDENTE Y VICEPRESIDENTE COMITE DEPARTAMENTAL - PNG30A,1,NO,SI,27,NO,NO,,
MCD,MCD,MIEMBROS COMITE DEPARTAMENTAL - PNG30A,28,MCD,MIEMBROS COMITE DEPARTAMENTAL - PNG30A,1,NO,NO,28,SI,NO,,1
VPP,VPP,VICEPRESIDENTE PRIMERO - PPH,29,VPP,VICEPRESIDENTE PRIMERO - PPH,1,NO,SI,29,NO,NO,,
PVJ,PVJ,PRESIDENTE  Y VICEPRESIDENTES DE LA JUNTA NACIONAL - PDC,30,PVJ,PRESIDENTE  Y VICEPRESIDENTES DE LA JUNTA NACIONAL - PDC,1,NO,SI,30,NO,NO,,
MJN,MJN,MIEMBROS DE LA JUNTA NACIONAL - PDC,31,MJN,MIEMBROS DE LA JUNTA NACIONAL - PDC,1,NO,NO,31,SI,NO,,1
MJD,MJD,MIEMBROS DE LA JUNTA DEPARTAMENTAL - PDC,32,MJD,MIEMBROS DE LA JUNTA DEPARTAMENTAL - PDC,1,NO,NO,32,SI,NO,,1
PVD,PVD,PRESIDENTE Y VICEPRESIDENTE DE LA JUNTA  DEPARTAMENTAL - PDC,33,PVD,PRESIDENTE Y VICEPRESIDENTE DE LA JUNTA  DEPARTAMENTAL - PDC,1,NO,SI,33,NO,NO,,
PVN,PVN,PRESIDENTE  Y VICEPRESIDENTE DE LA DIRECCION NACIONAL DE LA JUVENTUD - PDC,34,PVN,PRESIDENTE  Y VICEPRESIDENTE DE LA DIRECCION NACIONAL DE LA JUVENTUD - PDC,1,NO,SI,34,NO,NO,,
DNJ,DNJ,MIEMBROS DE LA DIRECCION NACIONAL  DE LA JUVENTUD - PDC,35,DNJ,MIEMBROS DE LA DIRECCION NACIONAL  DE LA JUVENTUD - PDC,1,NO,NO,35,SI,NO,,1
DNM,DNM,PRESIDENTA Y VICEPRESIDENTA DE LA DIRECCION NACIONAL DE MUJERES - PDC,36,DNM,PRESIDENTA Y VICEPRESIDENTA DE LA DIRECCION NACIONAL DE MUJERES - PDC,1,NO,SI,36,NO,NO,,
MNM,MNM,MIEMBROS DE LA DIRECCION NACIONAL  DE MUJERES - PDC,37,MNM,MIEMBROS DE LA DIRECCION NACIONAL  DE MUJERES - PDC,1,NO,NO,37,SI,NO,,1
PVT,PVT,PRESIDENTE Y VICEPRESIDENTE DE LA DIRECCION NACIONAL DE TRABAJADORES - PDC,38,PVT,PRESIDENTE Y VICEPRESIDENTE DE LA DIRECCION NACIONAL DE TRABAJADORES - PDC,1,NO,SI,38,NO,NO,,
MDT,MDT,MIEMBROS DE LA DIRECCION NACIONAL DE TRABAJADORES - PDC,39,MDT,MIEMBROS DE LA DIRECCION NACIONAL DE TRABAJADORES - PDC,1,NO,NO,39,SI,NO,,1
DID,DID,DIRECTORIO DEPARTAMENTAL,40,DID,DIRECTORIO DEPARTAMENTAL,1,NO,NO,40,SI,NO,,1
CON,CON,CONVENCIONAL,41,CON,CONVENCIONAL,1,NO,NO,41,SI,NO,,1
COL,COL,COMITÉ LOCAL,42,COL,COMITÉ LOCAL,1,NO,NO,42,SI,NO,,1
